department_name,crew_code,employee_name,status,employee_num,role,seniority_date,supervisor_name,supervisor_num
Caseflow,DAY,Matti Klich,Active,28-3372512,Manager,08/10/2015,,
Caseflow,DAY,Abeu Orgill,Active,03-2515161,Supervisor,01/05/2014,Matti Klich,28-3372512
Caseflow,DAY,Cash Garland,Active,39-8817037,Supervisor,12/07/2016,Matti Klich,28-3372512
Caseflow,DAY,Jenine Geistmann,Active,58-1941168,Supervisor,12/01/2009,Matti Klich,28-3372512
Caseflow,DAY,Jeffry Ives,Active,02-6598715,Worker,02/07/2012,Abeu Orgill,03-2515161
Caseflow,DAY,Dynah Crimin,Active,07-7371708,Worker,04/20/2017,Jenine Geistmann,58-1941168
Caseflow,DAY,Jeremy Trood,Active,13-4031670,Worker,06/09/2009,Jenine Geistmann,58-1941168
Caseflow,DAY,Gearard Savile,Active,18-1525908,Worker,05/03/2015,Abeu Orgill,03-2515161
Caseflow,DAY,Burr Ginnell,Active,21-9680801,Worker,04/05/2005,Cash Garland,39-8817037
Caseflow,DAY,Vivien Scarfe,Active,22-5511538,Worker,09/12/2014,Jenine Geistmann,58-1941168
Caseflow,DAY,Dennis Ansell,Active,24-9566286,Worker,07/18/2006,Jenine Geistmann,58-1941168
Caseflow,DAY,Arnaldo Barnwall,Active,26-1040296,Worker,09/05/2011,Cash Garland,39-8817037
Caseflow,DAY,Kala Andrejevic,Active,28-0735962,Worker,07/08/2008,Abeu Orgill,03-2515161
Caseflow,DAY,Kyla Mynett,Active,34-4729570,Worker,09/25/2006,Jenine Geistmann,58-1941168
Caseflow,DAY,Rip Cicerone,Active,35-6475497,Worker,06/11/2003,Cash Garland,39-8817037
Caseflow,DAY,Vicki Cluff,Active,35-7773906,Worker,02/08/2013,Abeu Orgill,03-2515161
Caseflow,DAY,Bartholomeo Drakeley,Active,37-9660253,Worker,08/18/2006,Cash Garland,39-8817037
Caseflow,DAY,Durand Aspray,Active,38-2929927,Worker,05/21/2012,Cash Garland,39-8817037
Caseflow,DAY,Livvie Itzcovich,Active,39-8759245,Worker,04/05/2017,Cash Garland,39-8817037
Caseflow,DAY,Daphna de Marco,Active,51-5541436,Worker,12/05/2012,Jenine Geistmann,58-1941168
Caseflow,DAY,Maye Courtenay,Active,53-0257212,Worker,08/26/2010,Abeu Orgill,03-2515161
Caseflow,DAY,Broderick Gouldeby,Active,54-4599411,Worker,06/12/2015,Abeu Orgill,03-2515161
Caseflow,DAY,Zebulen Vitet,Active,56-2896949,Worker,06/15/2005,Jenine Geistmann,58-1941168
Caseflow,DAY,Crysta Studde,Active,62-9200652,Worker,06/12/2012,Jenine Geistmann,58-1941168
Caseflow,DAY,Prinz Gemmill,Active,70-9049247,Worker,10/20/2015,Jenine Geistmann,58-1941168
Caseflow,DAY,Bogey Postans,Active,71-4619678,Worker,12/04/2014,Jenine Geistmann,58-1941168
Caseflow,DAY,Alessandro Le Breton,Active,71-7147591,Worker,11/11/2004,Cash Garland,39-8817037
Caseflow,DAY,Murdoch Trimble,Active,71-9235096,Worker,09/16/2003,Jenine Geistmann,58-1941168
Caseflow,DAY,Garik Hassell,Active,76-9797845,Worker,01/25/2005,Jenine Geistmann,58-1941168
Caseflow,DAY,Abbie Winchcum,Active,79-2033348,Worker,02/16/2011,Jenine Geistmann,58-1941168
Caseflow,DAY,Nickola Flannery,Active,86-8826687,Worker,12/10/2010,Abeu Orgill,03-2515161
Caseflow,DAY,Thomasine Depport,Active,89-4182296,Worker,08/29/2016,Abeu Orgill,03-2515161
Caseflow,DAY,Ellary Baldi,Active,98-0265113,Worker,10/13/2008,Cash Garland,39-8817037
Caseflow,DAY,Lilith Coulbeck,Active,98-5892596,Worker,03/30/2003,Jenine Geistmann,58-1941168
Caseflow,AFT,Carleton Ilden,Active,17-9867095,Manager,11/28/2002,,
Caseflow,AFT,Frederick Coxall,Active,14-4342205,Supervisor,01/09/2006,Carleton Ilden,17-9867095
Caseflow,AFT,Gus McGougan,Active,34-5995389,Supervisor,03/14/2011,Carleton Ilden,17-9867095
Caseflow,AFT,Rosanne Anfossi,Active,75-5694764,Supervisor,02/29/2008,Carleton Ilden,17-9867095
Caseflow,AFT,Shep Devonside,Active,02-0287856,Worker,08/29/2008,Gus McGougan,34-5995389
Caseflow,AFT,Kippie Astbury,Active,07-6012836,Worker,12/26/2009,Gus McGougan,34-5995389
Caseflow,AFT,Willabella Gajewski,Active,07-9398141,Worker,02/17/2005,Frederick Coxall,14-4342205
Caseflow,AFT,Elysia Fortoun,Active,08-0640260,Worker,05/02/2013,Gus McGougan,34-5995389
Caseflow,AFT,Sibelle Ryrie,Active,10-7985102,Worker,06/18/2008,Frederick Coxall,14-4342205
Caseflow,AFT,Mallorie Prawle,Active,11-5468553,Worker,06/08/2012,Frederick Coxall,14-4342205
Caseflow,AFT,Jade Linnell,Active,12-4033309,Worker,06/25/2011,Frederick Coxall,14-4342205
Caseflow,AFT,Paulina Codman,Active,14-0338055,Worker,05/23/2009,Rosanne Anfossi,75-5694764
Caseflow,AFT,Calhoun Sisson,Active,39-5372643,Worker,06/24/2006,Rosanne Anfossi,75-5694764
Caseflow,AFT,Clim Patillo,Active,41-7511878,Worker,06/18/2012,Rosanne Anfossi,75-5694764
Caseflow,AFT,Cynthie Aksell,Active,43-1360412,Worker,05/06/2007,Rosanne Anfossi,75-5694764
Caseflow,AFT,Sharleen Opdenort,Active,47-2085487,Worker,05/28/2007,Frederick Coxall,14-4342205
Caseflow,AFT,Danette Arndt,Active,47-5972227,Worker,06/16/2006,Gus McGougan,34-5995389
Caseflow,AFT,Sigfrid Shinn,Active,48-6410059,Worker,03/20/2015,Gus McGougan,34-5995389
Caseflow,AFT,Worth Pybworth,Active,59-3574175,Worker,12/25/2005,Frederick Coxall,14-4342205
Caseflow,AFT,Robbi Gonnard,Active,63-9818832,Worker,01/23/2007,Rosanne Anfossi,75-5694764
Caseflow,AFT,Marinna Cosin,Active,64-8436898,Worker,04/24/2012,Rosanne Anfossi,75-5694764
Caseflow,AFT,Yoko Kiossel,Active,65-5134611,Worker,12/09/2011,Gus McGougan,34-5995389
Caseflow,AFT,Midge Orpin,Active,73-0227227,Worker,06/01/2006,Gus McGougan,34-5995389
Caseflow,AFT,Hedwig Lodewick,Active,75-0883336,Worker,09/13/2014,Gus McGougan,34-5995389
Caseflow,AFT,Piotr Rycraft,Active,75-6703283,Worker,10/20/2014,Gus McGougan,34-5995389
Caseflow,AFT,Marie-ann Bale,Active,76-4850480,Worker,03/05/2009,Rosanne Anfossi,75-5694764
Caseflow,AFT,Sela Steinham,Active,76-8070267,Worker,06/19/2010,Gus McGougan,34-5995389
Caseflow,AFT,Rees Lober,Active,77-3817715,Worker,10/26/2015,Gus McGougan,34-5995389
Caseflow,AFT,Iolande Cayser,Active,80-7544792,Worker,11/06/2011,Frederick Coxall,14-4342205
Caseflow,AFT,Katti Eilhertsen,Active,80-9659185,Worker,10/17/2003,Frederick Coxall,14-4342205
Caseflow,AFT,Nanine Nassau,Active,86-7408943,Worker,12/20/2010,Gus McGougan,34-5995389
Caseflow,AFT,Dallas Muff,Active,89-4779011,Worker,06/13/2005,Rosanne Anfossi,75-5694764
Caseflow,AFT,Durward Birks,Active,93-3030401,Worker,06/17/2010,Rosanne Anfossi,75-5694764
Caseflow,AFT,Liz Gaven,Active,96-8884805,Worker,04/01/2015,Frederick Coxall,14-4342205
Caseflow,EVN,Anthony Probate,Active,13-6198886,Manager,06/25/2008,,
Caseflow,EVN,Cora McCarly,Active,16-7136957,Supervisor,10/26/2013,Anthony Probate,13-6198886
